user,isMember,isVolunteer,userRole,gender,age,skill,location,status,programName,hoursContribution,averageRating,donation,membershipPayment,dateJoined,donationDuplicate,targetDonation,programVolunteers,volunteerApplicationStatus
Elizabeth Castro,False,False,,male,41,event planning,Manila,active,Health Mission,0,,1632.02,0,2024-09-21,1632.02,17985,9,approved
Kim Castro,False,False,,female,62,cooking,Baguio,inactive,Health Mission,0,,2689.8,0,2024-09-30,2689.8,13425,17,approved
Rebecca Reyes,False,True,,female,45,cooking,Baguio,inactive,Health Mission,172,1.83,1860.39,0,2025-01-12,1860.39,16547,42,
Robin Williams,False,False,,female,38,event planning,Baguio,inactive,Disaster Relief,0,,3995.74,0,2024-04-14,3995.74,18705,24,denied
Rachel Lowery,False,False,,prefer not to say,45,IT support,Quezon City,inactive,Feeding Program,0,,3055.91,0,2024-12-04,3055.91,16178,20,approved
Travis Rodriguez,False,True,,male,20,nursing,Manila,inactive,Disaster Relief,138,1.93,1519.47,0,2023-03-22,1519.47,6137,41,
Deborah Rodriguez,False,False,,female,59,fundraising,Iloilo,active,Health Mission,0,,3388.53,0,2022-08-14,3388.53,13391,9,approved
Todd Quinn,False,True,,female,23,IT support,Zamboanga,active,Disaster Relief,40,1.56,4894.88,0,2023-07-20,4894.88,17179,20,
Christian Campbell,False,False,,male,46,fundraising,Iloilo,inactive,Feeding Program,0,,2568.15,0,2024-01-23,2568.15,19474,50,denied
Kyle Wagner,False,False,,male,31,nursing,Davao,active,Literacy Drive,0,,56.09,0,2024-02-04,56.09,18029,38,majority approved
Virginia Smith,False,True,,prefer not to say,65,cooking,Cebu,active,Tree Planting,190,1.02,2169.03,0,2025-05-09,2169.03,12373,36,
Kimberly Lopez,False,False,,male,62,teaching,Baguio,active,Disaster Relief,0,,4270.07,0,2023-11-29,4270.07,12054,19,approved
Teresa Hicks,False,False,,female,48,cooking,Manila,inactive,Disaster Relief,0,,1380.89,0,2022-07-07,1380.89,5008,26,denied
Abigail Grimes,False,True,,male,26,event planning,Iloilo,active,Feeding Program,114,3.22,1142.45,0,2025-04-15,1142.45,16522,39,
Mr. Daniel Shaw,False,True,,male,22,nursing,Cebu,active,Health Mission,153,3.4,2864.83,0,2023-09-07,2864.83,11446,17,
Mr. Brandon Rodriguez,False,True,,male,49,nursing,Quezon City,inactive,Disaster Relief,117,3.54,4458.08,0,2023-10-21,4458.08,12255,9,
Ashley Leblanc,False,False,,female,48,IT support,Davao,inactive,Feeding Program,0,,2387.89,0,2023-04-11,2387.89,18802,46,approved
Michael Levine,False,True,,female,22,nursing,Cebu,inactive,Health Mission,111,1.59,3124.22,0,2023-04-29,3124.22,8416,24,
Chelsea Crane,True,True,content manager,female,30,IT support,Manila,inactive,Health Mission,161,3.68,1842.37,1500,2023-01-05,1842.37,11962,19,
John Reyes,False,True,,male,47,IT support,Quezon City,inactive,Disaster Relief,86,2.71,2165.48,0,2025-01-18,2165.48,18261,38,
William Holloway,False,True,,female,25,IT support,Davao,inactive,Health Mission,148,1.6,1188.76,0,2025-02-25,1188.76,19958,19,
Angel Thompson,True,True,financial coordinator,female,33,IT support,Quezon City,inactive,Literacy Drive,148,4.82,3472.01,1500,2023-05-17,3472.01,14232,18,
Thomas Brown,False,False,,female,44,cooking,Baguio,active,Disaster Relief,0,,479.74,0,2023-06-02,479.74,6916,31,denied
Michael Costa,False,False,,female,51,IT support,Quezon City,inactive,Feeding Program,0,,734.73,0,2023-06-13,734.73,11530,21,approved
Kelly Cox,False,False,,prefer not to say,40,IT support,Quezon City,inactive,Health Mission,0,,1365.76,0,2023-11-03,1365.76,14154,24,majority approved
Sarah Wilson,False,True,,female,62,event planning,Manila,active,Disaster Relief,63,2.33,2433.31,0,2025-01-08,2433.31,19923,36,
Anthony Atkins,True,True,program coordinator,male,32,teaching,Davao,inactive,Health Mission,143,2.39,1679.1,1500,2024-02-29,1679.1,15809,19,
Janice Wade,False,False,,female,37,event planning,Iloilo,active,Disaster Relief,0,,3646.11,0,2023-10-19,3646.11,15831,20,denied
Ana White,False,False,,female,24,teaching,Cebu,inactive,Literacy Drive,0,,861.72,0,2022-07-10,861.72,6515,41,majority approved
Jane Farrell,True,True,content manager,male,32,event planning,Manila,active,Health Mission,30,4.78,1680.89,2000,2024-06-08,1680.89,17576,6,
Chad Lin,False,True,,male,21,IT support,Manila,inactive,Health Mission,167,2.46,1062.68,0,2025-01-02,1062.68,15715,7,
Tonya Ortiz,False,False,,female,58,cooking,Iloilo,active,Literacy Drive,0,,3508.23,0,2022-06-05,3508.23,7392,32,denied
Heather Brown,True,True,content manager,male,34,teaching,Cebu,inactive,Disaster Relief,155,3.64,2279.94,1000,2024-02-24,2279.94,12196,20,
Justin Steele,False,True,,male,26,fundraising,Zamboanga,inactive,Literacy Drive,115,3.93,1275.83,0,2023-02-06,1275.83,8063,6,
Lindsey Wyatt,True,True,admin,male,53,fundraising,Baguio,inactive,Health Mission,149,1.13,2271.28,500,2022-09-16,2271.28,17528,37,
Katherine Chaney,True,True,admin,female,49,cooking,Davao,inactive,Tree Planting,31,2.63,4041.48,1000,2024-02-01,4041.48,17297,7,
Angelica Lopez,True,True,financial coordinator,prefer not to say,63,IT support,Iloilo,active,Feeding Program,22,3.67,3352.21,1000,2023-01-11,3352.21,12848,5,
Mr. Jamie Lewis,False,True,,female,31,teaching,Baguio,active,Literacy Drive,87,1.05,2356.19,0,2022-09-28,2356.19,6948,11,
Lucas Murray,False,False,,male,22,fundraising,Cebu,active,Health Mission,0,,1478.48,0,2024-06-20,1478.48,8247,50,denied
Abigail Chapman,False,False,,female,36,cooking,Manila,active,Health Mission,0,,4375.76,0,2025-04-10,4375.76,9277,50,denied
Eric Hernandez,False,False,,male,51,event planning,Baguio,inactive,Disaster Relief,0,,2022.71,0,2025-04-16,2022.71,17014,24,majority approved
Gina Cruz,False,True,,male,62,nursing,Zamboanga,inactive,Feeding Program,126,1.6,1554.35,0,2023-10-18,1554.35,14680,45,
Cheyenne Sosa,False,True,,female,21,event planning,Manila,active,Tree Planting,110,1.73,3299.06,0,2024-02-04,3299.06,13983,32,
Heather Roach,False,False,,female,33,IT support,Davao,inactive,Feeding Program,0,,2151.56,0,2024-11-23,2151.56,6806,18,majority approved
Tina Robles,False,False,,male,38,cooking,Quezon City,inactive,Health Mission,0,,1750.09,0,2022-07-19,1750.09,9757,20,majority approved
Susan Ibarra,True,True,content manager,male,28,event planning,Cebu,active,Feeding Program,151,2.04,3384.04,1000,2023-01-20,3384.04,15882,35,
Stacy Lucas,False,False,,female,50,fundraising,Davao,active,Feeding Program,0,,1735.26,0,2023-05-30,1735.26,13137,6,denied
Julia Deleon,False,False,,female,55,cooking,Iloilo,inactive,Literacy Drive,0,,4560.41,0,2024-02-09,4560.41,13160,19,approved
Daniel Johnson,False,False,,female,24,teaching,Baguio,inactive,Disaster Relief,0,,4164.53,0,2023-11-08,4164.53,6641,21,majority approved
Joshua Liu,False,False,,female,37,event planning,Baguio,active,Tree Planting,0,,1715.2,0,2022-10-03,1715.2,16169,35,majority approved
Samantha Russell,True,True,admin,prefer not to say,32,event planning,Zamboanga,inactive,Disaster Relief,140,3.26,2293.92,2000,2022-07-03,2293.92,6784,41,
Daniel Graham,True,True,financial coordinator,female,42,cooking,Zamboanga,active,Tree Planting,83,4.28,4659.15,500,2024-09-11,4659.15,5229,22,
Bob Rich,False,False,,male,47,nursing,Cebu,inactive,Feeding Program,0,,1376.51,0,2023-12-07,1376.51,6618,27,approved
Stacy Mitchell,False,False,,female,44,fundraising,Manila,active,Disaster Relief,0,,4809.97,0,2023-09-10,4809.97,6154,22,majority approved
Chelsea Spencer,False,False,,male,43,cooking,Manila,active,Literacy Drive,0,,3604.35,0,2024-12-11,3604.35,8850,30,denied
Carlos Wright,False,True,,female,34,IT support,Cebu,active,Disaster Relief,27,1.01,4793.24,0,2023-07-29,4793.24,14278,31,
Jessica Beasley,False,False,,male,20,event planning,Cebu,active,Health Mission,0,,1585.91,0,2023-10-07,1585.91,8728,30,majority approved
Edward Flores,False,False,,male,52,cooking,Zamboanga,inactive,Disaster Relief,0,,4698.12,0,2024-04-30,4698.12,11303,48,denied
William Macias,False,False,,female,27,event planning,Davao,inactive,Literacy Drive,0,,1757.54,0,2023-02-01,1757.54,13626,44,majority approved
Rebecca Blake,False,True,,female,62,cooking,Quezon City,active,Tree Planting,199,3.95,158.29,0,2025-03-06,158.29,11374,41,
Vanessa Acosta,False,True,,male,58,fundraising,Quezon City,active,Literacy Drive,177,4.09,4301.1,0,2024-07-29,4301.1,8159,21,
Christine Snow,False,False,,female,37,fundraising,Zamboanga,inactive,Health Mission,0,,1510.64,0,2024-07-25,1510.64,8781,21,majority approved
Heather Henderson,False,False,,male,35,IT support,Davao,inactive,Feeding Program,0,,2723.42,0,2023-02-03,2723.42,19729,23,approved
Mr. John James MD,False,False,,male,65,event planning,Manila,inactive,Literacy Drive,0,,788.96,0,2022-12-14,788.96,13803,15,denied
Craig Kelly,True,True,program coordinator,male,33,fundraising,Cebu,inactive,Health Mission,79,1.49,3680.05,2000,2023-04-23,3680.05,7755,5,
Joseph Smith,True,True,admin,male,60,teaching,Baguio,inactive,Disaster Relief,191,1.42,3356.5,1500,2024-09-08,3356.5,10425,20,
Heather Hanson,False,True,,male,20,cooking,Manila,inactive,Disaster Relief,162,3.39,3810.33,0,2024-07-18,3810.33,7235,38,
William Watts,False,False,,male,18,fundraising,Iloilo,active,Disaster Relief,0,,2093.64,0,2024-02-07,2093.64,10309,22,denied
Alec Morales,False,False,,female,37,IT support,Baguio,inactive,Literacy Drive,0,,3735.96,0,2023-05-28,3735.96,6564,49,majority approved
Wendy Monroe,False,False,,female,40,fundraising,Davao,inactive,Literacy Drive,0,,2729.53,0,2024-01-14,2729.53,13535,6,denied
Amanda Todd,True,True,admin,female,46,nursing,Quezon City,active,Disaster Relief,105,4.48,1138.74,500,2023-07-07,1138.74,15549,8,
Melissa Mack,False,True,,male,51,teaching,Manila,inactive,Health Mission,176,1.93,484.4,0,2024-03-05,484.4,9185,12,
Robert Jones,True,True,program coordinator,female,60,cooking,Zamboanga,active,Disaster Relief,129,3.69,4856.49,1000,2023-05-24,4856.49,16944,6,
Robert Hernandez,False,True,,male,39,cooking,Zamboanga,active,Health Mission,111,3.15,3050.59,0,2023-03-11,3050.59,9433,6,
Cynthia Lee,True,True,financial coordinator,male,63,fundraising,Manila,inactive,Disaster Relief,119,2.79,3518.86,500,2024-06-14,3518.86,18724,29,
Brian Huynh,False,True,,prefer not to say,49,nursing,Quezon City,inactive,Feeding Program,140,2.79,1678.23,0,2025-01-04,1678.23,8763,46,
Robert Glover,True,True,financial coordinator,female,25,nursing,Manila,active,Tree Planting,92,1.38,4207.41,1000,2023-10-16,4207.41,13464,37,
Jesus Olson,False,True,,female,64,fundraising,Quezon City,inactive,Feeding Program,181,1.69,2400.3,0,2024-08-07,2400.3,6826,39,
Kathryn Thompson,False,False,,female,34,nursing,Quezon City,active,Literacy Drive,0,,2827.17,0,2025-03-17,2827.17,16807,38,denied
Amanda Patel,True,True,program coordinator,prefer not to say,32,cooking,Quezon City,active,Health Mission,158,4.09,2817.97,500,2025-04-21,2817.97,15914,17,
Julia Gillespie,True,True,financial coordinator,female,21,teaching,Cebu,active,Literacy Drive,49,4.13,1687.79,1000,2024-09-19,1687.79,12814,10,
Annette Smith,False,False,,male,22,cooking,Baguio,inactive,Health Mission,0,,1748.06,0,2024-11-19,1748.06,10937,29,approved
Kimberly Reynolds,False,False,,male,34,teaching,Baguio,inactive,Disaster Relief,0,,4432.03,0,2023-10-17,4432.03,12295,48,denied
Anthony Brady,True,True,content manager,male,44,nursing,Manila,active,Literacy Drive,137,2.51,2108.48,2000,2024-05-05,2108.48,15195,35,
Scott Ayala,False,False,,prefer not to say,36,cooking,Iloilo,active,Feeding Program,0,,1919.02,0,2023-08-01,1919.02,16013,40,denied
Billy Zamora,True,True,admin,male,38,cooking,Davao,active,Disaster Relief,176,2.38,3078.21,1000,2025-04-27,3078.21,6205,32,
Todd Keller,True,True,financial coordinator,male,45,fundraising,Manila,active,Health Mission,96,2.5,4278.85,1000,2023-06-23,4278.85,12152,15,
Dustin Smith,False,False,,female,49,teaching,Manila,inactive,Disaster Relief,0,,2692.43,0,2022-11-18,2692.43,18765,27,majority approved
Kayla Cruz,True,True,program coordinator,male,53,IT support,Cebu,active,Health Mission,105,2.36,1446.12,1500,2022-06-22,1446.12,13613,44,
Kevin Parker,False,False,,female,53,IT support,Cebu,inactive,Health Mission,0,,733.29,0,2024-10-18,733.29,7944,8,denied
Angela Gordon,False,False,,female,18,event planning,Zamboanga,inactive,Tree Planting,0,,545.17,0,2023-12-10,545.17,17874,8,denied
Sean Jones,False,False,,male,32,nursing,Quezon City,inactive,Literacy Drive,0,,3172.62,0,2024-02-13,3172.62,11661,29,majority approved
Jared Wong,True,True,financial coordinator,male,27,IT support,Quezon City,inactive,Literacy Drive,182,2.67,2968.63,500,2022-11-11,2968.63,15537,21,
Tony Arnold,False,True,,male,50,teaching,Cebu,active,Disaster Relief,82,3.88,788.59,0,2023-06-08,788.59,14069,16,
Sierra Garcia,False,True,,male,33,nursing,Manila,inactive,Tree Planting,192,2.26,2516.02,0,2024-11-21,2516.02,17510,6,
Carolyn Watson,True,True,financial coordinator,male,63,teaching,Quezon City,inactive,Literacy Drive,163,4.52,3006.9,1500,2022-07-02,3006.9,11927,44,
Gabriela Davidson,True,True,financial coordinator,female,43,teaching,Zamboanga,inactive,Disaster Relief,178,1.18,1481.78,2000,2022-08-27,1481.78,11084,33,
Kyle Bonilla,False,False,,prefer not to say,18,nursing,Quezon City,inactive,Disaster Relief,0,,4698.62,0,2023-08-31,4698.62,11636,7,majority approved
Alicia Neal,False,False,,male,38,event planning,Davao,inactive,Tree Planting,0,,3501.84,0,2023-04-09,3501.84,15836,11,approved
Taylor Cochran,True,True,financial coordinator,male,46,fundraising,Baguio,inactive,Feeding Program,66,3.91,4688.14,1000,2023-03-17,4688.14,6744,32,
Benjamin Barnes,False,False,,male,29,teaching,Quezon City,active,Literacy Drive,0,,1017.65,0,2024-02-12,1017.65,18174,7,denied
Angela Anderson,False,True,,male,65,fundraising,Baguio,active,Feeding Program,14,3.34,706.42,0,2022-11-29,706.42,14889,45,
Allison Collins,False,False,,female,48,IT support,Iloilo,active,Tree Planting,0,,1942.94,0,2023-05-23,1942.94,10974,11,majority approved
Emily Todd,False,False,,female,26,IT support,Davao,inactive,Literacy Drive,0,,1203.01,0,2022-11-19,1203.01,7515,14,approved
Patrick Saunders,False,False,,male,26,cooking,Zamboanga,active,Tree Planting,0,,2220.3,0,2022-12-20,2220.3,12776,42,denied
Jennifer Ballard,True,True,financial coordinator,female,36,fundraising,Davao,inactive,Feeding Program,70,1.8,4005.78,2000,2023-01-27,4005.78,14798,16,
Vanessa Spencer,False,False,,male,38,event planning,Quezon City,inactive,Feeding Program,0,,1035.11,0,2025-01-23,1035.11,12326,14,majority approved
Savannah Gordon,False,True,,male,20,nursing,Davao,active,Tree Planting,48,2.86,745.04,0,2022-11-11,745.04,11395,36,
Laura Waters,False,False,,male,64,IT support,Davao,active,Tree Planting,0,,1766.07,0,2025-02-20,1766.07,9348,30,denied
Denise Gray,False,True,,male,25,fundraising,Quezon City,inactive,Literacy Drive,70,3.77,4329.33,0,2024-02-20,4329.33,5663,47,
Kristi Reyes,False,False,,female,63,cooking,Davao,inactive,Feeding Program,0,,797.46,0,2024-08-15,797.46,8370,45,denied
Olivia Davis,False,True,,male,57,teaching,Davao,inactive,Health Mission,105,2.72,1977.99,0,2022-08-04,1977.99,19772,12,
Bradley Henderson,False,True,,female,47,IT support,Quezon City,inactive,Literacy Drive,95,1.94,4143.03,0,2023-12-23,4143.03,12515,38,
Seth Bradley,False,False,,male,45,IT support,Manila,inactive,Health Mission,0,,3400.73,0,2025-01-02,3400.73,13683,18,majority approved
Kevin Aguirre,False,False,,female,26,teaching,Baguio,active,Literacy Drive,0,,1384.87,0,2024-07-10,1384.87,15834,42,majority approved
Melissa Wang,True,True,content manager,female,61,fundraising,Quezon City,active,Feeding Program,68,4.64,4243.41,1000,2024-03-31,4243.41,15201,46,
James Bush,False,False,,female,63,teaching,Iloilo,active,Tree Planting,0,,1545.96,0,2022-08-09,1545.96,18393,6,denied
Tamara Powell,False,False,,male,61,fundraising,Baguio,active,Disaster Relief,0,,70.36,0,2024-09-03,70.36,16062,49,denied
Jennifer Hernandez,False,False,,female,62,teaching,Baguio,inactive,Health Mission,0,,2328.0,0,2023-07-04,2328.0,7389,24,approved
Betty Johnson,False,True,,prefer not to say,43,IT support,Baguio,inactive,Disaster Relief,107,1.48,4454.32,0,2022-11-03,4454.32,19330,25,
Tracy Long,False,True,,female,43,cooking,Davao,inactive,Literacy Drive,80,1.96,3476.16,0,2025-06-01,3476.16,6126,40,
Ashley Greene,False,True,,male,48,event planning,Manila,active,Feeding Program,172,1.43,2007.99,0,2022-11-08,2007.99,12455,41,
Brenda Campbell,True,True,financial coordinator,male,22,IT support,Zamboanga,active,Disaster Relief,99,2.33,2692.51,1500,2023-11-28,2692.51,15931,28,
Nicholas Miller,False,False,,female,57,cooking,Manila,inactive,Health Mission,0,,1868.34,0,2022-12-30,1868.34,17573,49,approved
Michael Goodwin,True,True,program coordinator,male,43,fundraising,Cebu,active,Tree Planting,171,4.46,850.86,2000,2023-08-26,850.86,9788,20,
Ashley Hill,False,False,,female,47,cooking,Iloilo,active,Literacy Drive,0,,1222.3,0,2023-03-14,1222.3,16386,28,majority approved
Jeffery Lewis,False,False,,male,47,fundraising,Baguio,active,Health Mission,0,,4497.54,0,2023-11-19,4497.54,8503,46,denied
Jacob Novak,True,True,admin,male,38,fundraising,Iloilo,active,Feeding Program,175,2.07,4980.62,1000,2023-10-17,4980.62,8093,14,
Jennifer Douglas,False,True,,female,53,fundraising,Iloilo,inactive,Literacy Drive,37,1.72,984.97,0,2022-08-28,984.97,18963,21,
Tiffany Payne,False,False,,male,49,nursing,Quezon City,active,Literacy Drive,0,,1993.28,0,2025-04-03,1993.28,18528,33,approved
Morgan James,False,True,,female,19,nursing,Davao,active,Literacy Drive,95,4.53,85.1,0,2024-05-07,85.1,11802,29,
William Dodson,False,True,,female,61,nursing,Iloilo,active,Feeding Program,62,3.21,4495.1,0,2025-01-06,4495.1,11023,34,
William Dean,False,True,,male,33,teaching,Manila,active,Disaster Relief,192,1.94,2395.41,0,2024-04-03,2395.41,18428,29,
Erin Steele,False,True,,male,37,cooking,Davao,active,Disaster Relief,190,3.44,1666.89,0,2025-05-14,1666.89,10065,12,
Kathryn Pineda,False,True,,male,20,teaching,Cebu,active,Disaster Relief,74,3.47,4586.47,0,2022-10-30,4586.47,6662,15,
Renee Torres,False,True,,female,50,event planning,Davao,active,Disaster Relief,97,1.62,3142.15,0,2022-12-24,3142.15,11673,9,
Madison Hayes,False,False,,male,50,fundraising,Manila,active,Literacy Drive,0,,1282.51,0,2024-01-12,1282.51,17992,49,denied
Brandi Yang,True,True,financial coordinator,male,41,nursing,Cebu,active,Disaster Relief,58,1.96,1054.13,1000,2022-06-14,1054.13,16108,11,
Jessica Jones,False,False,,female,30,fundraising,Cebu,inactive,Feeding Program,0,,469.94,0,2023-03-30,469.94,8160,32,majority approved
Catherine Schultz,False,False,,male,61,cooking,Quezon City,inactive,Feeding Program,0,,865.26,0,2025-05-28,865.26,9504,32,majority approved
Tiffany Smith,False,False,,female,50,IT support,Quezon City,inactive,Health Mission,0,,1688.39,0,2022-08-03,1688.39,15525,43,approved
Christine Robinson,True,True,admin,female,63,fundraising,Davao,active,Health Mission,197,3.87,4347.43,500,2024-08-10,4347.43,12648,33,
Daniel Martin,False,False,,prefer not to say,38,nursing,Davao,active,Feeding Program,0,,3756.29,0,2023-02-25,3756.29,7785,23,denied
John Bush,True,True,financial coordinator,male,30,cooking,Baguio,inactive,Literacy Drive,114,3.46,961.13,500,2023-12-25,961.13,7139,43,
Paul Campbell,False,False,,female,59,IT support,Quezon City,inactive,Health Mission,0,,3216.69,0,2023-10-15,3216.69,5925,27,denied
Curtis Sanders,True,True,program coordinator,female,54,nursing,Davao,inactive,Feeding Program,69,4.8,1497.27,2000,2024-02-12,1497.27,16219,24,
Marie Sharp,False,True,,female,40,fundraising,Baguio,inactive,Feeding Program,136,4.97,2131.05,0,2024-10-07,2131.05,16856,39,
Jason Hunt,False,False,,female,26,event planning,Cebu,active,Feeding Program,0,,4585.8,0,2023-05-22,4585.8,12165,33,majority approved
Kimberly Jones,False,True,,prefer not to say,61,cooking,Baguio,active,Tree Planting,111,4.47,308.52,0,2022-12-02,308.52,7936,39,
Vernon Williams,False,False,,female,37,fundraising,Iloilo,active,Tree Planting,0,,3938.82,0,2023-10-12,3938.82,12759,47,approved
Angel Mclean,False,True,,male,24,event planning,Cebu,active,Health Mission,99,2.32,1761.91,0,2024-07-22,1761.91,8489,21,
Charles Baker,False,False,,male,49,nursing,Baguio,active,Health Mission,0,,4403.84,0,2022-08-29,4403.84,12608,10,majority approved
Alan Coleman,True,True,content manager,female,18,event planning,Quezon City,active,Disaster Relief,109,4.51,3773.68,500,2023-01-30,3773.68,18858,47,
Christopher Clark,False,False,,female,49,teaching,Quezon City,active,Tree Planting,0,,1541.31,0,2023-10-13,1541.31,10025,35,majority approved
Erik Jones,False,False,,male,53,teaching,Manila,inactive,Disaster Relief,0,,1492.4,0,2023-03-07,1492.4,6712,47,majority approved
Sara Weber,False,False,,female,49,nursing,Manila,active,Literacy Drive,0,,3872.19,0,2023-04-12,3872.19,13795,18,approved
April Dunlap,False,False,,male,26,event planning,Zamboanga,inactive,Literacy Drive,0,,1488.26,0,2025-06-01,1488.26,5247,42,denied
Russell Hayes,False,False,,male,34,fundraising,Baguio,inactive,Health Mission,0,,1055.81,0,2025-02-16,1055.81,11908,28,denied
Willie Miller,False,True,,male,40,nursing,Iloilo,active,Feeding Program,192,2.05,2913.45,0,2023-09-22,2913.45,17652,14,
Christine Brown,False,True,,male,57,event planning,Quezon City,inactive,Feeding Program,26,4.72,417.3,0,2023-09-01,417.3,5837,18,
Gabrielle Parker,False,False,,female,28,nursing,Baguio,inactive,Health Mission,0,,3160.09,0,2024-07-31,3160.09,11331,26,majority approved
Sarah Pope,False,False,,male,61,cooking,Davao,inactive,Tree Planting,0,,2370.96,0,2023-08-18,2370.96,13769,22,approved
Lisa Brown,False,True,,female,28,teaching,Baguio,active,Tree Planting,155,2.76,3549.35,0,2025-01-16,3549.35,16297,28,
Amanda Allen,False,False,,male,57,IT support,Davao,inactive,Tree Planting,0,,1788.54,0,2023-11-06,1788.54,17574,42,majority approved
Amy Cervantes,False,True,,male,61,event planning,Baguio,active,Feeding Program,37,2.7,1540.17,0,2023-03-03,1540.17,12971,11,
Kristen Martin,False,False,,male,34,IT support,Cebu,inactive,Feeding Program,0,,1345.62,0,2024-11-20,1345.62,15782,48,denied
David Cole,True,True,financial coordinator,female,24,fundraising,Baguio,inactive,Literacy Drive,199,3.24,4192.08,1500,2024-08-05,4192.08,11810,24,
Stephanie Morgan,True,True,program coordinator,male,36,teaching,Iloilo,active,Disaster Relief,83,2.31,4872.69,1000,2022-07-15,4872.69,5388,10,
Michael Weber,False,True,,female,24,IT support,Manila,active,Literacy Drive,135,2.58,2928.55,0,2023-06-27,2928.55,9777,50,
Timothy Bartlett,True,True,content manager,male,26,nursing,Manila,inactive,Health Mission,123,4.26,2727.33,500,2024-06-27,2727.33,19337,29,
Jacob Hamilton,False,False,,male,25,nursing,Quezon City,inactive,Health Mission,0,,358.29,0,2023-09-13,358.29,9044,42,denied
Amanda Trevino,False,False,,male,49,event planning,Quezon City,inactive,Health Mission,0,,4448.13,0,2024-11-05,4448.13,15203,47,approved
Regina Chambers,False,False,,female,46,nursing,Zamboanga,inactive,Literacy Drive,0,,1120.07,0,2023-03-01,1120.07,17395,25,approved
Kenneth Lee,False,False,,female,19,fundraising,Cebu,inactive,Literacy Drive,0,,4131.58,0,2022-07-18,4131.58,8429,19,approved
Katrina Newman,True,True,admin,male,18,cooking,Davao,active,Tree Planting,152,2.94,944.83,1500,2025-03-21,944.83,13926,31,
Sara Richards,False,False,,male,35,IT support,Cebu,active,Literacy Drive,0,,668.58,0,2022-08-22,668.58,13837,8,approved
Michael Guerrero,False,False,,female,18,event planning,Iloilo,inactive,Disaster Relief,0,,3249.89,0,2022-11-24,3249.89,8075,24,majority approved
Jeffrey Thomas,False,False,,male,40,nursing,Manila,inactive,Feeding Program,0,,1065.31,0,2025-04-22,1065.31,17499,7,approved
Michelle Fernandez,False,True,,prefer not to say,27,event planning,Zamboanga,inactive,Literacy Drive,127,3.91,3985.51,0,2023-12-30,3985.51,19649,8,
